Unique ID	Post	Labels Set		
3340	"विडियो कॉन्फ्रेंसिंग से केंद्रीय मंत्री @rsprasad ने नवसृजित पटना साहिब डाक प्रमंडल, नवसृजित लोहियानगर प्रधान डाकघर एवं खुसरुपूर उप डाकघर भवन का किया लोकार्पण

विवरण : https://t.co/pPUoxz3R0m https://t.co/yvhFFNUde2"	non-hostile		
3341	"आज दुनिया भविष्य में तेजी से बदलते Jobs, Nature of Work को लेकर चर्चा कर रही है।

ये पॉलिसी देश के युवाओं को भविष्य की आवश्यकताओं के मुताबिक knowledge और skills, दोनों मोर्चों पर तैयार करेगी: PM"	non-hostile		
3342	ट्रस्ट बनाकर पैसे हड़पने की थी साजिश? देखिए 'महाभारत' सुचरिता कुकरेती के साथ रिपब्लिक भारत पर LIVE : https://t.co/G945HvRmSx https://t.co/FUnQwC7Ftt	non-hostile		
3344	"@shardaatri ये तीस करोड़ देश जलाने वाले दिल्ली जयपुर बंगलुरू जलाने वाले कोरोना फैलाकर देश को आर्थिक तबाही देनें वाले दानव जल्लाद अल्पसंख्यक मुसलमान दानव बम है विस्फोटक से भी अधिक विस्फोटक है इन सबों को बालू की रेत में बोरी मे भरकर अरब की रेत मे डिफ्यूज़ कर इन कुत्तों का खेल ख़त्म करो !
yes"	hate		
3347	"रोजगार दो ,जुमला नही ।
@INCIndia @RahulGandhi https://t.co/BBeTY5OUb5"	non-hostile		
3352	"जलियांवाला बाग की तरह अंग्रेजों ने बिहार के इस जिले में भी बरसाई थी गोलियां, 10 लोग हुए थे शहीद

https://t.co/uszlYi4Nv8"	non-hostile		
3353	"नेता नगरी. सौरभ द्विवेदी बात कर रहे हैं राजदीप सरदेसाई के साथ. इन मुद्दों पर-देश की GDP औंधे मुंह गिरी, अब भविष्य में क्या होगा?
डिजिटल एक्टिविज़्म के सहारे सरकार को चुनौती देते युवा और चीन से तनाव के बीच किस बात पर सरकार की वाहवाही हो रही है?

https://t.co/mSJJQGtuZ7"	non-hostile		
3354	"अभी भी आप सब ""सपा, बसपा, कांग्रेस, AAP"" में वफ़ा ढूंढ रहे हो..! 

बड़े ही नादान हो ""दोस्तों"" ज़हर की शीशी में दवा ढूंढ रहे हो..!! 😅"	hate		
3355	विश्व के पहले नंबर के टेनिस खिलाड़ी नोवाक जोकोविच अमरीकी ओपन टेनिस से बाहर हो गए हैं। जोकोविच को चौथे दौर के मुकाबले में रेफरी द्वारा अयोग्य घोषित होने के बाद टूर्नामेंट से बाहर होना पड़ा। https://t.co/zir8Z3p9tI	non-hostile		
3356	"India China Border News: चीनी सैनिकों की भड़काऊ कोशिश को भारतीय सैनिकों ने किया नाकाम : विदेश मंत्रालय
#chinaindiaborder #LaddakhClash #LAC 
https://t.co/FcA0uVtUMW"	non-hostile		
3359	"#Meerut में युवक की गोली मारकर हत्या, #Mathura में बुजुर्ग से लूटपाट| Crime Diary 
https://t.co/zQjAA21hZR"	non-hostile		
3361	@ArvindK95983200 कुछ कमियां संविधान में रही होगी तभी तो संविधान के अनुरूप नहीं चल पा रहे हैं यह यदि संविधान में कमियां नहीं होती तो मजाल है संविधान के खिलाफ जाकर कोई काम कर दे	hate		
3363	"पूर्व राष्ट्रपति प्रणब मुखर्जी जी को विनम्र श्रद्धांजलि🙏
#PranabMukherjee https://t.co/GhhsMRoDw1"	non-hostile		
3366	"वाइस एडमिरल एसआर सरमा, एवीएसएम, वीएसएम ने सामग्री,भारतीय नौसेना के प्रमुख के रूप में कार्यभार संभाला

@DefenceMinIndia 

विवरण: https://t.co/0nolk2SaZS https://t.co/1VzdZ8TnuP"	non-hostile		
3367	#AarPaar चीन के विस्तारवाद पर भारत का विराम  @AMISHDEVGAN https://t.co/5CXyLHa0mq	non-hostile		
3369	"लद्दाख के चुमार में एलएसी पर घुसपैठ की कोशिश की लेकिन भारतीय सेना की चौकसी देखकर चीनी सैनिक भाग गए.
@adgpi

https://t.co/vXwoPtsTO6"	non-hostile		
3370	"#UP में चुनाव से पहले बदलेगा BJP ऑफिस का पता, ये हो सकता है नया  ठिकाना| Ganga Prime
https://t.co/xhmH08WAfJ"	non-hostile		
3371	"#SushantWasMurdered | सुशांत केस: रिपब्लिक मीडिया के सवालों पर गौरव आर्या ने साधी चुप्पी, कैमरे से भागते दिखे https://t.co/C4yqViiY6f"	non-hostile		
3372	"सुशील मोदी बोले-  बिहार में गठबंधन की राजनीति एक 'वास्तविकता',कोई दल अपने बूते नहीं बना सकता सरकार 
#BiharElections 

https://t.co/RxW797HMG7"	non-hostile		
3374	आज जनपद गोरखपुर में कृषि मंडी का निरीक्षण किया तथा किसानों एवं व्यापारियों से वार्ता कर मंडी समिति द्वारा प्रदत्त सुविधाओं /व्यवस्थाओं के विषय में जानकारी प्राप्त की।	non-hostile		
3378	"#Breaking 
#मैनपुरी में युवक की मॉब लिंचिंग में मौत, लिंचिंग के दौरान दलित युवक की मौत,
मैनपुरी में दलित युवक को पीटकर मार डाला। @mainpuripolice @Uppolice #policemedianews"	non-hostile		
3382	"फैसला: टेलीकॉम कंपनियां 10 साल तक चुका सकेंगी एजीआर की रकम, अगले साल एक अप्रैल से शुरू होगी टाइमलाइन; देरी और डिफॉल्ट पर ब्याज और पेनाल्टी लगेगी https://t.co/7srIWw0rvs #Telecom #AGRamount @VodafoneIN @airtelindia @reliancejio https://t.co/EunmM3wIlE"	non-hostile		
3383	"पालघर मॉब लिचिंग: पीड़ित परिवार ने की सीबीआई जांच की मांग, CID से असंतुष्ट https://t.co/mMzDBIs0we"	non-hostile		
3385	"इलाहाबाद हाईकोर्ट ने दिया डॉ. कफील खान की जल्द रिहाई का आदेश, भड़काऊ भाषण के लिए हुए थे गिरफ्तार
#kafeelkhan #allahabadhighcourt @Uppolice @myogioffice
https://t.co/UKX237Yydd"	non-hostile		
3389	"RT @Komal_433: सुशांत केस की जाँच CBI के बजाय अगर UP पुलिस करती 
तो अब तक 'रि''या' के रिश्तेदार उसकी ""तेरही"" का भोज खाकर अपने घरों को लौट…"	hate		
3390	"#Kushinagar - #BREAKING
प्रदेश में पुलिस से बेखौफ होकर वारदातों को अंजाम दे रहे हैं बदमाश, फिर बदमाशों ने डबल मर्डर की वारदात को दिया अंजाम, युवक की गोली मारकर हत्या, हत्या करने वाले बदमाश को पुलिस की मौजूदगी में ग्रामीणों ने मारा, @kushinagarpol @Uppolice
#policemedianews"	non-hostile		
3392	"India-China के बीच सीमा विवाद पर मॉस्को में हुई बैठक, भारत ने कहा- चीन छोड़े अपनी विस्तारवादी नीति

रिपोर्टः- @neeraj_rajput 

#India #China 

https://t.co/2Qx2nFEnPT"	non-hostile		
3393	"देशभर में कल से JEE की परीक्षा, मुंबई में छात्रों और उनके अभिवावकों को लोकल ट्रेन से यात्रा की इजाजत

#NEET #JEEExam #Mumbai 

https://t.co/7jwrybykix"	non-hostile		
3394	"यह तस्वीर एक शख़्स की है जो मिस्र में बच्चों का अपहरण करते हुए पकड़ा गया था। व्हाट्सएप्प पर फैलने वाली तस्वीर के साथ कैप्शन दिया गया है - ""मिलिए जामिया की महिला protester से।""
#BOOMFactCheck #FakeNews #JamiaProtests #CAAProtest #CAA_NRC

https://t.co/HcoL90fK9S"	non-hostile		
3396	"#SureshRaina के ट्वीट के बाद पंजाब पुलिस का बड़ा फैसला 

@PunjabPoliceInd @capt_amarinder 

https://t.co/anAFXH0mNc"	non-hostile		
3397	"#RajasthanPolitics: ब्यूरोक्रेसी के गले की फांस बन रहा भाजपा सांसदों से टकराव
#rajsthan @BJP4India @BJP4Rajasthan 
https://t.co/lOeGOHnwXS"	non-hostile		
3398	"#नोटाविरों तौफा कबूल हो!!

लो सुन लो #RssBANकी मांग कर रहे #तथाकथितSANTIDOOTमुसलमान
जोधपुर में!! Dhoda डिस्ट्रिक्ट"	hate		
3399	"हमारे किसानों ने कोरोना की इन कठिन परिस्थितियों में भी अपनी ताकत को साबित किया है।

मैं देश के किसानों को बधाई देता हूं, उनके परिश्रम को नमन करता हूं। #MannKiBaat https://t.co/kaAtoN2T6y"	non-hostile		
3400	@Scorpian_Aa @gorakhpurpolice -कृपया संज्ञान में लेकर आवश्यक कार्यवाही करें।	non-hostile		
3402	"#Kannauj पुलिस ने तस्करों को किया गिरफ्तार, तस्करों के कब्ज़े से 20 किलो गांजा बरामद, लोडर के साथ 4 तस्कर गिरफ्तार, इंदरगढ़ पुलिस ने तस्करों को पकड़ा। @kannaujpolice @Uppolice #policemedianews"	non-hostile		
3404	"सुशांत के परिवार के वकील #Exclusive- सुशांत को जाने बिना ड्रग्स दी गई
#Sushantsinghcase #JusticeForSushant 
@Aryarpit https://t.co/PDoF3n7Kr7"	non-hostile		
3407	"मुख्यमंत्री श्री @myogiadityanath जी ने बाढ़ प्रभावित जनपदों के जिलाधिकारियों को बाढ़ से फसलों को हुए नुकसान का सर्वे कराकर कृषकों को शीघ्र मुआवजा प्रदान करने के लिए निर्देशित किया है: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी

@ShishirGoUP"	non-hostile		
3408	"धोनी की टीम CSK के लिए आयी खुशख़बरी, आप भी जानिए क्या है पूरा मामला https://t.co/HDwlqRAhal"	non-hostile		
3409	उपराज्	non-hostile		
3411	"प्रशांत भूषण को सजा सुनाए जाने के बाद बोले कुमार विश्वास - इस तरह सजा को और बढ़ाया जा सकता है. | #PrashantBhushan 
https://t.co/rJjbrU2JOh"	non-hostile		
3413	"Petrol Diesel Price: 11 किस्तों में दिल्ली में 1.51 रुपये महंगा हुआ पेट्रोल, जानें अपने शहर के दाम
https://t.co/QgOodI2Dv6 via @NavbharatTimes"	non-hostile		
3414	"गांव-चट्ठा नन्हेड़ा,,जिला-संगरुर (पंजाब)
ग्रामीणों का फैसला ! कोरोना टेस्ट नही करवायेंगे । कोरोना की आड़ में, मानव अंग तस्करी का गंदा खेल चल रहा|"	non-hostile		
3415	सुप्रीम कोर्ट ने उज्जैन के महाकालेश्वर मंदिर की शिवलिंग में पंचामृत चढ़ाने पर लगाई रोक  https://t.co/rimh7MLigw via @NavbharatTimes	non-hostile		
3416	"आरोपी महिला और चौकीदार के बीच किसी बात को लेकर कहासुनी हुई थी, इसके बाद महिला ने चौकीदार पर हमला बोल दिया.  
#Telangana
https://t.co/NwpkccaElY"	non-hostile		
3419	"#Kanpur पति ने पत्नी पर किया हमला, धारदार हथियार से पत्नी पर सोते समय हमला, वारदात के बाद आरोपी पति फरार, घायल पत्नी को अस्पताल में कराया भर्ती, नौबस्ता के खाड़ेपुर इलाके का मामला। @kanpurnagarpol @adgzonekanpur #policemedianews"	non-hostile		
3420	"कोरोना देश में: रेल मंत्रालय ने कहा- ज्यादा स्पेशल ट्रेनें चलाने के लिए राज्य सरकारों से सलाह ले रहे हैं, देश में अब तक 36.94 लाख मामले https://t.co/GQIk6Jr4T4 #CoronaUpdatesOnBhaskar COVID 19 @RailMinIndia @PiyushGoyal"	non-hostile		
3423	"जब अपनें ही शामिल होते है दुश्मनों की चाल में,
तब शेर भी फस जाता है कुत्तों के जाल में ।

#दलालों को समर्पित"	hate		
3424	कोरोना के इस मुश्किल वक्त में दिल्ली के बैंक्वेट हॉल्स एसोसिएशन का सहयोग और योगदान सराहनीय रहा है। अब हमें भविष्य में भी इसी तरह मिलकर काम करते हुए दिल्ली की अर्थव्यवस्था को पटरी पर लाना है। https://t.co/XRPjNrfJuj	non-hostile		
3427	"इस साल विकास दर शून्य से ऊपर रहने की संभावना को खारिज नहीं किया जा सकता: रंगराजन
https://t.co/fn2LRHTMgq via @NavbharatTimes 
#RBI #GDP #Economy https://t.co/aiH3qvLDLs"	non-hostile		
3428	"कंगना रनौत और संजय राउत के बीच वार-पलटवार चल रहा है. मुंबई को घसीटा गया. पीओके कहा गया. नेताओं के हल्के बोल दिखे, इस विवाद पर अपनी राय कॉमेंट्स में बताएं. https://t.co/T4CvizpZIY"	non-hostile		
3430	"वैश्विक महामारी कोविड-19 की त्रासदी के मध्य कल से विधान मंडल सत्र प्रारंभ हो रहा है।

कोविड-19 प्रोटोकॉल तथा विधानसभा सचिवालय की व्यवस्था का पालन करके यह संदेश देने का प्रयास होगा, कि हम सभी प्रकार की सम-विषम परिस्थितियों में भी लोकतांत्रिक प्रक्रियाओं को आगे बढ़ा सकते हैं।"	non-hostile		
3433	"पहले जिस समस्या को लोग स्वीकार भी नहीं करते थे, ऐसी समस्या के बारे में चर्चा करते हुए प्रधानमंत्री @narendramodi ने कहा कि हम 100 शहरों की हवा में बदलाव लाकर दिखाएंगे, इसके लिए मैं उनका धन्यवाद करता हूं : केंद्रीय मंत्री @PrakashJavdekar  

#CleanAirForBlueSkies 
#CleanAirForAll https://t.co/XHUBqkR3n9"	non-hostile		
3434	"#BREAKING | रिया चक्रवर्ती के पिता इंद्रजीत चक्रवर्ती अपने घर से DRDO गेस्ट हाउस के लिए निकले, CBI करेगी पूछताछ

देखिए रिपब्लिक भारत पर #LIVE :  
https://t.co/G945HvzM0Z https://t.co/dqX1QOCPyQ"	non-hostile		
3435	"इस धमकी भरे कॉल के बाद बढ़ाई गई उद्धव ठाकरे के आवास की सुरक्षा. | #UdhavThackeray 
https://t.co/Jsm2kn80Pa"	non-hostile		
3436	"पूर्ण और आखिरी एकीकरण

हम संविधान के अनुच्छेद 370 को समाप्त कर देंगे, जो राज्य के पूर्ण और अंतिम एकीकरण के लिए जम्मू और कश्मीर को एक अलग और अलगाववादी आधार पर खड़ा करता है।

- भाजपा चुनावी घोषणा पत्र, 1996

#OneYearOfNoArticle370 https://t.co/He9xYrbK4a"	non-hostile		
3437	"लोक जनशक्ति पार्टी की बैठक में चिराग पासवान समेत कई बड़े नेता मौजूद हैं।
#Bihar #BiharElections 

https://t.co/uSrfBs6KhR"	non-hostile		
3440	राष्ट्रीय सुरक्षा क़ानून का गलत इस्तेमाल किया गया है: क़ानूनी विशेषज्ञ -प्रेस रिव्यू https://t.co/Pl9UStbLYx	non-hostile		
3441	"पूर्व राष्ट्रपति #PranabMukherjee का पार्थिव शरीर सुबह 9 बजे दिल्ली के 10 राजाजी मार्ग स्थित उनके आवास पर श्रद्धांजलि देने के लिए रखा जाएगा, सुबह सवा 9 बजे से सवा 10 बजे तक गणमान्य व्यक्तियों द्वारा श्रद्धांजलि दी जाएगी https://t.co/vnB1eY62tn"	non-hostile		
3448	चीन ने वायरस भेजकर दुनिया को धोखा दिया इसीलिए अब उसे इसकी सजा मिल रही है. वीडियो लगभग 10 साल पहले जापान में आई सुनामी का है. | stoic_annu	hate		
3450	ALERT: बैंक लोन में दो साल तक के लिए बढ़ सकती है छूट-केंद्र https://t.co/4UDz6qBBPV	non-hostile		
3452	"कर्नाटक में इस्तीफा देने वाले विधायकों के मामले में SC ने यथास्थिति बनाए रखने का आदेश दिया, 16 जुलाई को फिर सुनवाई
https://t.co/AKysD1aum2"	non-hostile		
3453	"देश में कोविड-19 के 69,921 नए मामले, कुल संक्रमितों की संख्या 36,91,166 हुई
https://t.co/f3dYrxfMr4"	non-hostile		
3454	"Covid vaccine के प्रति विश्वास जतानेवालों में भारत तीसरे नंबर पर, Ipsos MORI के सर्वे में खुलासा

#COVID19 #CoronaVaccine 

https://t.co/qelMKgm9q8"	non-hostile		
3455	"पूर्व राष्ट्रपति #PranabMukherjee के निधन पर शोक व्यक्त करते हुए केंद्रीय मंत्री @PrakashJavdekar ने कहा देश ने अपने एक बेहतरीन बेटे को खो दिया है

विवरण : https://t.co/wxnNgNbEuN https://t.co/6v3ipE9TSG"	non-hostile		
3456	प्रधानमंत्री आवास योजना के तहत 30 लाख से अधिक आवास निर्मित उत्तर प्रदेश को देश में मिला प्रथम स्थान	hate		
3457	ना रोजी बचा ना रोजगार बचा ना नौकरी बची ना लोगों की वायलेंस  रही जीडीपी 24 माइनस  हकीकत में 50 - गवार मूर्ख चोर के हाथ में देश जाने से देश की नागरिक की यही हालत होती है भक्तो ठोको ताली 1890में भारत चली गई है वहां से वापस आना संभव नहीं 80 परसेंट नागरिक भुखमरी के कगार पर	hate		
3459	"केन रिचर्डसन आईपीएल 2020 से हुए बाहर, अब RCB में हुई इस खिलाड़ी की एंट्री -
#AdamZampa @RCBTweets #IPL2020 

https://t.co/rD0fYtgWpb"	non-hostile		
3461	"सत्ता चाहे कांग्रेस की रही हो या अब भाजपा की हो दोनो में एक बात पूरे प्रदेश में कॉमन है वो है 'लूट'।
देखिये किस प्रकार टोल नाकों में लूटा और धमकाया जा रहा है।
.@ChouhanShivraj .@AapKaGopalRai 
.@AamAadmiParty https://t.co/TevuVilfQZ"	non-hostile		
3463	"कुल 3,57,42,190 राशन कार्डों के सापेक्ष 3,38,75,490 राशन कार्डों पर खाद्यान्न का वितरण किया गया जो कि 94.78% है: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी"	non-hostile		
3464	"केंद्र में भाजपा सरकार सब कुछ बेचने में आमादा है।  आत्म-निर्भरता के नाम पर भाजपा निजीकरण को बढ़ावा दे रही, सब कुछ प्राइवेट कंपनियों 
नई शिक्षा नीति भी उसी दिशा में केंद्र का प्रयोग है। डर है इससे गरीब-गुरुवा के बच्चें शिक्षा और रोज़गार से वंचित न रह जायें। https://t.co/8BciKYfWaN"	hate		
3465	"BOX OFFICE: 'कबीर सिंह' ने तोड़े कमाई के सारे रिकॉर्ड, इस साल की सबसे बड़ी फिल्म बनी, जानें कलेक्शन

https://t.co/bsvKi6ilDD

@shahidkapoor #ShahidKapoor"	non-hostile		
3466	"सुशांत केस में एक और ड्रग पेडलर गिरफ्तार
#SushantSinghRajputDeathCase 

https://t.co/t8hT6ctz8I"	non-hostile		
3467	"यह रिश्ता क्या कहलाता है।
तमाचा चीन पर, और कांग्रेसी गाल सहलाता है।।

सीमा पर हर हरकत की, 
तुम अनदेखी करते थे। 
'लाल आंखें' तो छोड़ो, 
तुम नजर मिलाने से डरते थे।। https://t.co/9D9Dax2oog"	hate		
3469	"फोटो स्टोरी: सड़क के गड्ढों में पंक्चर के लिए ट्यूब का लीकेज चेक कर लेता है मिस्त्री; नर्मदा का जलस्तर घटा, पर लोग अब भी तंबुओं में https://t.co/4XSiPgmSXd #PhotoStory #HeavyRain #Floods2020 https://t.co/OJbOoHXvpc"	non-hostile		
3471	जनपद खीरी के ग्राम त्रिकोलिया पढुआ थाना सम्	non-hostile		
3473	एम.एस.एम.ई. मंत्री नितिन गडकरी ने भिवाड़ी में प्रौद्योगिकी केंद्र का उद्घाटन किया https://t.co/S8Vudza1Yz	non-hostile		
3475	"यह माह #हिन्दी_दिवस का है। इस कड़ी में प्रकाशन विभाग की पुस्तकों के साथ आप भी हिन्दी और उसके अमूल्य साहित्य से जुड़ें।

#DPDBooks के लिए क्लिक करें- https://t.co/T0Zi8WNAKA https://t.co/PR0TuKRYQD"	non-hostile		
3476	"मिसिसिप्पी स्टेट यूनिवर्सिटी से PHD रहे, IIT से पढ़ने वाले अमरेंद्र बेहतर नौकरी के प्रस्ताव को ठुकरा कर आरा की इस यूनिवर्सिटी से जुड़े. अमरेंद्र का कहना है कि यूनिवर्सिटी की बेहतरी के लिए उनके द्वारा उठाए जा रहे कदमों के कारण उन्हें निशाना बनाया जा रहा है.
https://t.co/aRIbPJ842f"	non-hostile		
3478	"RT @Komal_433: एक नचनिया के अवैध निर्माण पर कार्रवाई  से बीजेपी, दलाल मिडिया, संघियो,में  भगदड़ मच गई 

सोचो अडानी और अंबानी बेचीं गई सम्प…"	hate		
3479	अमेरिका  के रक्षा विभाग ने कहा कि चीन इस दशक में अपने परमाणु हथियारों के भंडार को दोगुना करने की योजना बना रहा है #China #US  https://t.co/QQ3XZJDLIs	non-hostile		
3480	"पश्चिम बंगाल के हुगली के तेलिनीपारा की हालत बदतर हो चली है। यहां हिंदुओं को रहने नहीं दिया जा रहा। उनके घर जला दिए गए, बम फेंके जा रहे हैं और काली मंदिर में भी तोड़फोड़ की गई।

यहाँ पुलिस भी #TMC के दबाव में दूसरे समुदाय का साथ दे रही है।
@ABVPBanga @narendramodi @KailashOnline"	hate		
3484	"#BREAKING | ड्रग्स मामले में दीपेश सावंत का बड़ा कबूलनामा; 'शौविक के कहने पर ड्रग्स खरीदा'- सूत्र

देखिए रिपब्लिक भारत पर #LIVE : https://t.co/G945HvzM0Z

YouTube live TV:
https://t.co/P8bk9R5TiX https://t.co/pcplsHwGrb"	non-hostile		
3486	"गिरिराज सिंह ने जनसंख्या वृद्धि को धर्म से जोड़ा, कहा- भारत सांस्कृतिक विभाजन की ओर बढ़ रहा है

पढ़ें खबर- https://t.co/LZIBllpK79"	non-hostile		
3487	"जम्मू-कश्मीर में आतंकवादियों से मुठभेड़ में शहीद वीर जवानों को सादर नमन।

राष्ट्र सेवा करते हुए सर्वस्व अर्पित करने वाले इन वीरों के समक्ष समस्त देशवासी नतमस्तक हैं।

राष्ट्र रक्षार्थ यह बलिदान युगों तक हमें प्रेरित करता रहेगा। 

सादर श्रद्धांजलि!"	non-hostile		
3488	"#KarnatakaCrisis : @INCIndia के 2 और विधायकों का इस्तीफा, MLA सुधाकर के साथ कांग्रेस नेताओं ने की मारपीट

#Karnataka 
https://t.co/OsB9h6AaH4"	non-hostile		
3489	"कंगना रनौत पर संजय राउत का पलटवार, कहा- 'वो अनाप-शनाप बोलती है, हम देख लेंगे..'
https://t.co/JOv8uGOR9y"	non-hostile		
3490	"पत्नी को बेहोश कर बनाता था अप्राकृतिक संबंध, मुकदमा दर्ज  https://t.co/TsxK2Fewlm"	non-hostile		
3491	"@ch_himanshu_08 त्वरित सहायता हेतु कृपया @112uttarpradesh  डायल करें, आवश्यक कार्यवाही हेतु @ghaziabadpolice  कोसूचित किया गया l"	non-hostile		
3494	"आईसीएमआर के अनुसार पिछले 24 घंटे के दौरान 7,20,362 लोगों के कोविड-19 सैंपल टेस्ट हुए, जबकि देश भर में अब तक कुल 4,95,51,507 कोरोना सैंपल की जांच हो चुकी है 
@ICMRDELHI @MoHFW_INDIA @AyushmanNHA 

 #IndiaFightsCOVID19 #StayAtHome https://t.co/XbrnIHZ6TU"	non-hostile		
3495	"महात्रया रा का कॉलम: फिल्टरिंग टाइम्स के पार, एक खूबसूरत दुनिया हमारा इंतजार कर रही है https://t.co/OnetIlPXxP #Opinion #Columnist @Mahatria"	non-hostile		
3499	"बॉलीवुड के इंफॉर्मेशन- ब्रॉडकास्टिंग मंत्री हैं करीना और रणबीर, कप"	non-hostile		
3501	"74वें स्वतंत्रता दिवस की समस्त देशवासियों को हार्दिक शुभकामनाएं।
 
अप्रतिम त्याग और बलिदान से माँ भारती को ब्रितानी परतंत्रता से मुक्त कराने वाले हुतात्माओं को कोटिशः नमन।

आइए, हम सभी आज के पावन अवसर पर 'एक भारत-श्रेष्ठ भारत-समावेशी भारत' के निर्माण हेतु संकल्पित हों।

जय हिंद! https://t.co/6w4fubqWH4"	non-hostile		
3506	"पैंगोंग की झड़प में भी भारतीय सेना PLA पर भारी पड़ी 
@adgpi 

#ChinaParIndianPoll पर ट्वीट कर दें अपनी राय 

@aditi_tyagi @AmanChopra_ 

Watch LIVE - https://t.co/DrvFUf3YKl https://t.co/o6OUNbvxgM"	non-hostile		
3507	"अपना तशरीफ़ मुबारक इधर से ले के जाओ मियां।
अगर जेब्रा अलैहि आपके इस बयान को सुन लिए तो आपके चबूतरे पर चढ़कर अज़ान देने लगेंगे।
फिर ओला भी आपकी हिफाजत नहीं कर पाएगा।

आमीन"	hate		
3508	"#Hapur रेडीमेड कपड़ों की दुकान में लगी आग, आग बुझाने के प्रयास में मालिक झुलसा, गाजियाबाद अस्पताल में भर्ती कराया गया, दमकल की गाड़ियों ने आग पर पाया काबू, पिलखुआ के मोदीनगर स्टैंड का मामला। @hapurpolice @Uppolice #policemedianews"	non-hostile		
3511	"7 सितंबर से देश भर में मेट्रो ट्रेने चलेंगी, स्कूल कॉलेज अभी भी बंद रहेंगे !!

#Unlock4"	non-hostile		
3512	"क्या है पंजाब का बहुचर्चित दलित छात्रवृति घोटाला जिसमें प्रदेश के सामाजिक न्याय एवं अधिकारिता मंत्री पर दलित छात्रों के करोड़ों रुपए के वजीफे डकारने का आरोप है। जानिए @manjeet_sehgal की #ReporterDiary में 
अन्य वीडियो- https://t.co/mf6keLW7vJ https://t.co/cclYYaoW3x"	non-hostile		
3514	"देश के 4 सबसे ज्यादा कोरोना प्रभावित राज्यों में संक्रमित लोगों में से कितने प्रतिशत मर जाते हैं? 
(अपडेट)

गुजरात -6.22%
महाराष्ट्र - 3.57%
दिल्ली - 2.75%
तमिलनाडु - 0.85% https://t.co/bW44cB4Emi"	non-hostile		
3515	"JEE की परीक्षा देने के बाद स्टू़डेंट्स ने बताया, क्या हुई परेशानी, कैसा रहा एग्जाम #JEENEET https://t.co/9HT3RXKYXZ"	non-hostile		
3516	प्रशांत भूषण को अवमानना मामले में मिली एक रुपये के ज़ुर्माने की सज़ा https://t.co/8AH0Tkd1R5	non-hostile		
3517	"भगवान को मनाने में जुटे तेज प्रताप यादव, कहा- सरकार आई तो पूरे बिहार में भागवत कथा और यज्ञ करवाएंगे

https://t.co/bzG29trypo"	non-hostile		
3518	"रेप आरोपी #GayatriPrajapati को मिली जमानत, देश छोड़कर नहीं जा सकेंगे बाहर| ABPGanga 
https://t.co/WlgBOgjxUJ"	non-hostile		
3519	"दिल्ली में हर-घर राशन योजना जनवरी से होगी शुरू।
दिल्ली में कोरोना पर काफी हद तक नियंत्रण पाने से AAP का दिल्ली मॉडल एक नजीर बन गया है, सरकार के मुखिया @ArvindKejriwal जी का भी मानना है कि अब हालात धीरे-धीरे सुधरते जायेंगे। अर्थव्यवस्था को पटरी पर लाने के लिए भी सरकार प्रयासरत है। https://t.co/D1KpQvEi1O"	non-hostile		
3520	"#Top100 में देखिए आज सुबह की सभी खबरें, सिर्फ 8 मिनट में
#Morningnews https://t.co/5hKbok2gCf"	non-hostile		
3521	"#TaalThokKe : चीन 1962 दोहराएगा, घेरकर मारा जाएगा !  
#IndiaMaangeMore @AmanChopra_ https://t.co/NGm2ztOcI5"	non-hostile		
3524	"#संविधानकीशपथ - कश्मीर पर अब्दुल्ला की सियासत क्या  देशविरोधी है ?
फारुख अब्दुल्ला की पाकिस्तान से बातचीत की पैरवी का मतलब क्या है ?
करेंगे चर्चा, शाम 4 बजे @abpnewshindi @abpnewstv https://t.co/iIo8s9V3pU"	non-hostile		
3527	"Bihar Board: बिहार बोर्ड 9वीं से 12वीं तक की प्रैक्टिकल कक्षाएं भी चलेगी ऑनलाइन, जानें डिटेल्स

#BiharBoard #NitishKumar

https://t.co/87WORNOJ4E"	non-hostile		
3528	"बलिया में पत्रकार रतन सिंह ,आजमगढ़ में जनप्रतिनिधि सुरेंद्र यादव &amp;सुल्तानपुर में सिपाही सुनील यादव की हत्या हत्या। अगर कांग्रेस या एसपी या बीएसपी की सरकार होती तो अब तक गोदी मीडिया इस्तीफ़ा माँग चुकी होती ।
@INCIndia"	non-hostile		
3529	"भारत के पूर्व राष्ट्रपति, भारत रत्न श्री प्रणव मुखर्जी जी के निधन से मन अत्यंत दुखी है। आपने राजनीतिक और सामाजिक क्षेत्र के हर वर्ग की सेवा करने के साथ ही आर्थिक क्षेत्र में भी अहम योगदान दिया है। 

ईश्वर दिवंगत आत्मा को शांति और शोकाकुल परिजनों को संबल प्रदान करें।

।। ॐ शांति।। https://t.co/ZakNtm2uQ8"	non-hostile		
3531	हरियाणा के राज्यपाल श्री सत्यदेव नारायण आर्य ने देश के पूर्व राष्ट्रपति श्री प्रणब मुखर्जी के निधन पर शोक प्रकट किया है। उन्होंने कहा कि श्री मुखर्जी एक योग्य व गुणी नेता थे। उन्होंने जीवनभर गरीबों व आमजन के कल्याण के लिए कार्य किया। भगवान उनकी आत्मा को अपने चरणों में स्थान दें।	non-hostile		
